x_error,y_error,z_error,rx_error,ry_error,rz_error
-8.725980445519945089e-04,7.028737268572650410e-04,-6.291631493453353485e-02,-1.337940949585373351e-01,7.071873161940669950e-02,-8.680522786688640857e-03
-8.910544666666095001e-04,5.796063773579676615e-04,-6.351336194472256835e-02,-1.337247633800937308e-01,7.070939847423943214e-02,-8.689562214039532259e-03
-1.040412197736927200e-03,4.079150207585841015e-04,-6.379920096663793672e-02,-1.336304398059143528e-01,7.063010852877214807e-02,-8.704466595060130624e-03
-1.134652095121414751e-03,3.228441181598804000e-04,-6.335920817021956086e-02,-1.335824499569661927e-01,7.058148537876740569e-02,-8.717286845822199912e-03
-1.297947447047911960e-03,2.685654858308808568e-04,-6.372424468427717592e-02,-1.335531377933655561e-01,7.049905210038379111e-02,-8.729118875944328476e-03
-1.358652018436263924e-03,2.968912058307349167e-04,-6.692974002919327425e-02,-1.335675545252041907e-01,7.046953016749757381e-02,-8.736895442998918529e-03
-4.023612892585179575e-03,5.056240848894010681e-03,-1.284659531167943181e-01,-1.708805141369442726e-01,4.521269822927889703e-02,-8.601063947841160531e-03
-4.071830940414425393e-03,5.038885691762570729e-03,-1.338358117286718718e-01,-1.708695184267935430e-01,4.518689887597631544e-02,-8.610669521764383050e-03
-4.072092861834327240e-03,5.040901764333648866e-03,-1.392730185314420277e-01,-1.708679395136011303e-01,4.518857858547689621e-02,-8.612398602205924292e-03
-4.107213786732026931e-03,5.033775589968359637e-03,-1.437749078932980540e-01,-1.708604478246850689e-01,4.517542243814359759e-02,-8.618704066217806881e-03
-4.038840899425270511e-03,4.961785935508694623e-03,-1.466952153712898221e-01,-1.708227182148617795e-01,4.521492862732614387e-02,-8.610509107985520397e-03
-3.971657878866173379e-03,4.983166703879982756e-03,-1.479156943112771572e-01,-1.708356245265806594e-01,4.525745265156894820e-02,-8.601355459402722226e-03
-2.921663852653320903e-03,4.167801133326320961e-03,-1.037412859414127420e-01,-1.656571770534314425e-01,7.608761515069276116e-02,-1.783786621880311188e-02
-2.868897903003697018e-03,4.233490305471172138e-03,-1.051370516399999788e-01,-1.656950522813511739e-01,7.612277749496765278e-02,-1.783499222042173038e-02
-2.791433558308605793e-03,4.191339168845408664e-03,-1.024393645258161456e-01,-1.656745903833316547e-01,7.616977600514106272e-02,-1.783607750746418752e-02
-2.776148441275977981e-03,4.118290946197800811e-03,-1.014153373012581794e-01,-1.656426854738016208e-01,7.618844743978663014e-02,-1.782747286996237690e-02
-2.754380604760517989e-03,4.120005753926892639e-03,-1.002123999000137378e-01,-1.656474771123287171e-01,7.620790395977672382e-02,-1.782307189960176050e-02
-2.696016839887510098e-03,4.043372932333855890e-03,-9.634959020373545791e-02,-1.656149364654667666e-01,7.624574220017776849e-02,-1.781360838083763734e-02
1.507788258065736239e-03,2.477692237980201606e-04,-2.025902957297531781e-02,-7.351221364782695167e-02,6.598498971799453272e-02,-2.267294875045563693e-02
1.572760209377104500e-03,2.659322071904904328e-04,-1.694199897648163144e-02,-7.352711391711518052e-02,6.602749099413376954e-02,-2.266108931164562482e-02
1.610153584051195663e-03,1.839350801484396225e-04,-1.102054838440202911e-02,-7.350418775033884522e-02,6.605818626771528534e-02,-2.264148734207842642e-02
1.600231224049521693e-03,2.051567195766358653e-04,-7.528759637040471908e-03,-7.352663150788579793e-02,6.606829984969612990e-02,-2.262730652433643866e-02
1.604165402598581487e-03,2.215239791302954508e-04,-3.784947016917561413e-03,-7.354545368986251108e-02,6.608258104241608588e-02,-2.260917619337526538e-02
1.598168010992961820e-03,2.645592172851873869e-04,1.099374860054291858e-03,-7.357431061870016442e-02,6.608995967491081147e-02,-2.259547495048042781e-02
2.804493544362008945e-03,-3.112466309837979422e-03,3.494679973151459951e-02,-2.092820405399085926e-02,6.668942803212191128e-02,-2.359565760752892552e-02
2.817205848152606884e-03,-3.153817852373046876e-03,3.882990362056726319e-02,-2.092065305948590317e-02,6.670392228659381695e-02,-2.359255715248730761e-02
2.827426146606236337e-03,-3.231590524787070901e-03,4.303387749726494960e-02,-2.090253139368640836e-02,6.671402282300492592e-02,-2.356975258061815362e-02
2.761159899828074908e-03,-3.212374173010193457e-03,4.447668728733711330e-02,-2.091720824354511080e-02,6.668862902588443275e-02,-2.357353510334982485e-02
2.701632348532472232e-03,-3.176899479133750426e-03,4.581835410067958136e-02,-2.094119552555518196e-02,6.666468621010006312e-02,-2.357340490094636531e-02
2.688586290250343045e-03,-3.209951403751371696e-03,5.045013720200053342e-02,-2.093084327178482487e-02,6.665973297972530021e-02,-2.357374602012503317e-02
2.660978094539610990e-03,-4.123126948017415833e-03,4.799752385454747472e-02,-2.628523642316210867e-03,8.248385986587523921e-02,-3.000290738710866684e-02
2.590135884883696619e-03,-4.223530862715797751e-03,5.367023143926175077e-02,-2.578990840036137627e-03,8.244373818132215426e-02,-2.999233615082609258e-02
2.509910781798020164e-03,-4.315565230146874154e-03,5.801332131691927518e-02,-2.529942172844419634e-03,8.240018244926120006e-02,-2.999447297572923818e-02
2.432528732445372356e-03,-4.466496014259867947e-03,6.229531828532164361e-02,-2.457470193060915138e-03,8.235759914957963002e-02,-2.998134224844893267e-02
2.433375496263154910e-03,-4.558651133301176023e-03,6.467509583250918848e-02,-2.405532070440769259e-03,8.236546737294263287e-02,-2.998748969750665225e-02
2.347693874313854477e-03,-4.718859693696023094e-03,6.661998483371711632e-02,-2.326048445314097494e-03,8.232000301583372592e-02,-2.998531238527915935e-02
2.999664644041754365e-03,-4.247416532001051237e-03,4.850595756388631496e-02,-9.157500084161626294e-03,8.724241012926586825e-02,-2.998999054097937697e-02
2.926166300617591594e-03,-4.419790758028820099e-03,5.008627118485453611e-02,-9.068883792832823504e-03,8.719356218318734253e-02,-2.998385412908695022e-02
2.874059740536235186e-03,-4.574750729942744093e-03,4.912428097350451939e-02,-8.985395071254681162e-03,8.716271121903602925e-02,-2.998193299620364322e-02
2.821839778132119100e-03,-4.633493524452731924e-03,4.808787264314362542e-02,-8.948992563061372932e-03,8.714343388114002831e-02,-2.998539159146970320e-02
2.880175705208667947e-03,-4.680581477312997785e-03,4.548927749605125026e-02,-8.923194317157146643e-03,8.718302141965550422e-02,-2.998605457222630957e-02
2.819302380970555109e-03,-4.729414864494928261e-03,4.214343357923622246e-02,-8.889517451368272177e-03,8.716118284863633159e-02,-2.999775239604864779e-02
1.853099139446244895e-03,-2.304371926765219625e-03,3.028575861656168655e-03,-8.001331368821627821e-02,7.571663909943909809e-02,-2.653778271154862492e-02
1.812600740106557785e-03,-2.482894986127890530e-03,2.878291386545384078e-03,-7.991787253578293282e-02,7.569016924919258482e-02,-2.654372129381847578e-02
1.749172118142377835e-03,-2.459664382778729147e-03,-2.698656228917961641e-03,-7.992149838514681082e-02,7.566052568875576700e-02,-2.655154269637565942e-02
1.591137850870982026e-03,-2.655304294054222636e-03,-2.790779874960236384e-03,-7.981944537543388118e-02,7.557490632430644006e-02,-2.655378799423693120e-02
1.549329635041000585e-03,-2.820192690434403238e-03,-2.838256476275113904e-03,-7.973207630686808545e-02,7.554871891729258992e-02,-2.655248771395364582e-02
1.485168091679967039e-03,-2.895665368805401541e-03,-5.270031140872766251e-03,-7.968994907268203698e-02,7.551843741842648172e-02,-2.655501519122177578e-02
-1.037462293710036607e-03,9.144304521061380475e-04,-7.156892211763077327e-02,-1.569939214822262952e-01,5.122955156075095773e-02,-1.049888692097858053e-02
-1.217452295164371187e-03,6.545382929734645805e-04,-6.908481724212200970e-02,-1.568560736774523012e-01,5.113225050276772737e-02,-1.051089212514909159e-02
-1.335037262825774888e-03,5.560365771814408664e-04,-6.931605295646603437e-02,-1.568038658825543219e-01,5.106766857005448634e-02,-1.052018247001741853e-02
-1.458663776934376009e-03,4.451844828564539835e-04,-6.902204143101298150e-02,-1.567479097439133107e-01,5.100441988707904439e-02,-1.052895241885403420e-02
-1.498488866788737651e-03,3.619460048624179027e-04,-7.017009518417993696e-02,-1.567070241530943708e-01,5.098294880190025469e-02,-1.053350249439820134e-02
-1.558267063378901418e-03,2.855959309840602756e-04,-7.576023538915088729e-02,-1.566703301794934722e-01,5.095434975254647947e-02,-1.053391586764184165e-02
-4.015936689620985649e-03,5.096265273319817296e-03,-1.302954282799902996e-01,-1.776643131023576683e-01,4.499126236042502724e-02,-1.007252431277326152e-02
-3.966408241705876928e-03,5.107678699905238845e-03,-1.357067411403523050e-01,-1.776689280854570341e-01,4.501965913567623767e-02,-1.007286687410502077e-02
-3.931888437854970733e-03,5.113773172328573563e-03,-1.388755651519368861e-01,-1.776717224972919063e-01,4.503980871912664774e-02,-1.007324543179840236e-02
-3.881344354845770069e-03,4.981325877914173639e-03,-1.427171104543243363e-01,-1.776011368158571524e-01,4.507126652681346657e-02,-1.006630214901376233e-02
-3.807412217027190092e-03,4.952955437782163156e-03,-1.444217841483120823e-01,-1.775874933382204646e-01,4.511407891532309006e-02,-1.006183315026805761e-02
-3.767824561387216574e-03,4.986498524636045343e-03,-1.469262790142374930e-01,-1.776076957144056279e-01,4.513920536496915381e-02,-1.006500626667700647e-02
-1.579611389704282595e-03,1.757268702229509982e-03,-8.636294916725872906e-02,-1.719093714791871397e-01,4.642747844351118730e-02,-9.816941576144763010e-03
-1.510753666892529577e-03,1.729339232096990808e-03,-8.678562412626833478e-02,-1.718955388953585794e-01,4.647027271323749681e-02,-9.814714592814736960e-03
-1.486604905873823096e-03,1.678143300976365354e-03,-8.499842221805575804e-02,-1.718784254561608604e-01,4.649017467802508963e-02,-9.803733672972513025e-03
-1.465854138915391718e-03,1.693039406993297052e-03,-8.412217211803962869e-02,-1.718895153981633839e-01,4.650338068452963131e-02,-9.801357745835308569e-03
-1.362985654307161554e-03,1.659745856815660753e-03,-8.158205051068267988e-02,-1.718790751637659653e-01,4.655951027888224208e-02,-9.788814925307030498e-03
-1.349220399323381586e-03,1.636267191817666194e-03,-7.615625487126398419e-02,-1.718721816513351097e-01,4.657961975525098941e-02,-9.786586281015202324e-03
1.174074453168003768e-03,-1.388631854048368031e-03,-1.353413471985065453e-02,-1.062215825940278219e-01,7.555164509263680161e-02,-2.322245949957961811e-02
1.175879695680865245e-03,-1.419858563604336349e-03,-9.571791670755391834e-03,-1.062196934933761217e-01,7.556394866780757891e-02,-2.319964377415636644e-02
1.165817506184838818e-03,-1.365517298315511302e-03,-4.776138198147816816e-03,-1.062484935375003353e-01,7.557274854188121560e-02,-2.319248280627159153e-02
1.106979488375872634e-03,-1.351691993968093947e-03,-1.418496760809628832e-03,-1.062599509330236086e-01,7.556079580737273815e-02,-2.318602331755455562e-02
1.132056805626004917e-03,-1.334814652474317770e-03,2.809892693638182948e-03,-1.062717609904595822e-01,7.558597702131701623e-02,-2.316669524153265602e-02
1.195284882579558715e-03,-1.392912356869061702e-03,8.705985690633410989e-03,-1.062570980065832144e-01,7.562484330416435752e-02,-2.314604504245125829e-02
2.918140184268700615e-03,-3.531151910194551408e-03,4.106801585176422797e-02,-1.840540943259065532e-02,8.450426640348918106e-02,-2.820458249825699704e-02
2.990462272262828323e-03,-3.624247742697876001e-03,4.534262400233257662e-02,-1.837889992566387951e-02,8.454717873401709771e-02,-2.818343452748253708e-02
2.994315346668994290e-03,-3.688300929686898905e-03,4.901855347425887466e-02,-1.835640057482166437e-02,8.456332662483509455e-02,-2.818289253922107856e-02
2.946745395049225284e-03,-3.717888199843099456e-03,5.039618605880513691e-02,-1.834727984288810065e-02,8.454613052501237791e-02,-2.818061589993641619e-02
2.916059133596531332e-03,-3.741110164590742693e-03,5.442211047029910098e-02,-1.833778695739097034e-02,8.453504765151040323e-02,-2.817725962213980112e-02
2.818933876005939691e-03,-3.664934597152436774e-03,5.867580006600858766e-02,-1.836424467351396167e-02,8.449297782430098547e-02,-2.818791471680214683e-02
2.709298325968573923e-03,-4.224443159119715269e-03,4.910365856957199515e-02,-2.969057415362088247e-03,8.395805793837238240e-02,-3.130349934968713888e-02
2.636922810586572134e-03,-4.296499055694201485e-03,5.347915356677124255e-02,-2.922176522314050371e-03,8.391681279423485185e-02,-3.131637626144078562e-02
2.586146499393899168e-03,-4.405688397285421193e-03,5.708216988351844101e-02,-2.859882324265458457e-03,8.389024576025166935e-02,-3.131916396236571198e-02
2.561023776224548559e-03,-4.533525707229823370e-03,6.101783165342300475e-02,-2.791052454754219554e-03,8.387639394160531503e-02,-3.131537349865917003e-02
2.467910289700111798e-03,-4.692743070441821734e-03,6.409236827692255112e-02,-2.708952780567046477e-03,8.381928784492664875e-02,-3.130691511235407509e-02
2.429396325740185159e-03,-4.843543656312272391e-03,6.542191923599660619e-02,-2.633301484850478994e-03,8.378764358400807299e-02,-3.128922772105300482e-02
3.135750224303573194e-03,-3.797843121336231392e-03,4.195126158256079485e-02,-1.415317805041552829e-02,6.952626810961211323e-02,-2.862463782603412443e-02
