x_error,y_error,z_error,rx_error,ry_error,rz_error
-2.168798950293749066e-03,-5.111615840441835826e-03,3.273861244283182703e-02,2.302416157801034664e-03,-4.561500833293469399e-03,1.166990667301867537e-03
-2.132140749006888013e-03,-5.185941600119373801e-03,2.798400382749310911e-02,2.339369707348718658e-03,-4.543300566231677114e-03,1.165462521966468016e-03
-2.122777251109474531e-03,-5.235004540339488130e-03,2.508257019919368780e-02,2.362938585189456979e-03,-4.536003765602111479e-03,1.169880804200048446e-03
-2.132429886615039554e-03,-5.369146432857898818e-03,2.376848411350118706e-02,2.423607671431495404e-03,-4.537910944259213389e-03,1.174519634918805636e-03
-1.974746476986349170e-03,-5.378398729300480630e-03,2.293329780072828061e-02,2.426053711356553153e-03,-4.458368638160143532e-03,1.183965379418630776e-03
-1.957863785797347555e-03,-5.400175965091401006e-03,2.132546706355009647e-02,2.436787565440995396e-03,-4.450856665437583071e-03,1.176385326718406297e-03
-1.939387234195268962e-03,-5.401117949431138293e-03,2.164564255162637618e-02,2.436896921867924472e-03,-4.439007338966780014e-03,1.174104811457839757e-03
-1.918660308768838389e-03,-5.422733355907021630e-03,2.252298010666731187e-02,2.447319983407783475e-03,-4.420588334465375135e-03,1.166206964382419334e-03
-1.874561683984321721e-03,-5.418798516314174418e-03,2.369537703054147570e-02,2.442934173504923874e-03,-4.390009205335201371e-03,1.162627508980904360e-03
-1.813196000743479705e-03,-5.489010986271808043e-03,2.723971200813823934e-02,2.473111637359546276e-03,-4.351610360887074244e-03,1.168661997451112249e-03
-1.734273468715024627e-03,-5.596747970229094121e-03,2.992735304079074954e-02,2.516533138837676216e-03,-4.304004095128313376e-03,1.178853677552381927e-03
-1.726956708369938205e-03,-5.649393605625321543e-03,3.349764332313942550e-02,2.534287090173715368e-03,-4.289320772683513638e-03,1.184912210500750933e-03
-1.761900620044929734e-03,-5.607415490943833472e-03,3.797366579958372235e-02,2.508619540076005745e-03,-4.293685646788997570e-03,1.197153108776744836e-03
-1.708177613079462157e-03,-5.617048855331246288e-03,4.115501917999708770e-02,2.503059382639946390e-03,-4.254579298980179676e-03,1.215031881644301065e-03
-1.705128319930737267e-03,-5.578621397838356630e-03,4.496956059238510495e-02,2.477271614652153467e-03,-4.238992827277485685e-03,1.230002369005292039e-03
-1.700266009845658550e-03,-5.609491755506861368e-03,5.083575926510963683e-02,2.485189083886632511e-03,-4.221669190935657852e-03,1.239468627083807487e-03
-1.747870746188224600e-03,-5.544874236197067097e-03,5.405162154022824517e-02,2.452582174300025827e-03,-4.231985090963014638e-03,1.245745958420446664e-03
-1.718832073982733350e-03,-5.541300746524219917e-03,5.790387397117180424e-02,2.446188296620269761e-03,-4.207071497050267860e-03,1.244649963788857332e-03
-1.758165049511499402e-03,-5.565063177735264308e-03,6.239489315781654444e-02,2.444258695842343315e-03,-4.215170432992330213e-03,1.248467713755139260e-03
-1.719616157209359012e-03,-5.664016653290929182e-03,6.570164940763978390e-02,2.473686803976154428e-03,-4.191353682023729252e-03,1.261858913098300129e-03
-1.745970838750475007e-03,-5.688531421074840069e-03,6.812785869076953826e-02,2.480309964648433601e-03,-4.196000039385541780e-03,1.253358865194956467e-03
-1.779279521915643446e-03,-5.685689862324802557e-03,7.071319897527172937e-02,2.476515504365302007e-03,-4.207923112155122561e-03,1.251351234425281643e-03
-1.800274136807198094e-03,-5.697478538988796914e-03,7.499912823942844753e-02,2.484225794596447729e-03,-4.215082914403642418e-03,1.242775235473851138e-03
-1.762580807786728486e-03,-5.754320942669097563e-03,8.042989155960789116e-02,2.513591533346130197e-03,-4.197258674789189521e-03,1.238197948031925007e-03
-1.898076823901891433e-03,-5.851431177882240875e-03,8.603972547851623798e-02,2.558497536719626063e-03,-4.267376858226016971e-03,1.249568527473346848e-03
-1.973503763418486996e-03,-5.910016428094144042e-03,9.019137353904205234e-02,2.593336744597279572e-03,-4.306407585960499683e-03,1.246762362516488400e-03
-2.061503110205457293e-03,-6.097844316389405828e-03,9.468857685221943044e-02,2.689130852808791113e-03,-4.357746884061551411e-03,1.257372035925832061e-03
-2.082590730407979374e-03,-6.199069582999344741e-03,9.643681789901747958e-02,2.742317077179348608e-03,-4.363902395103516976e-03,1.269433206861627804e-03
-2.101694071453393420e-03,-6.351947436381431139e-03,9.884192398692415171e-02,2.815876306980304600e-03,-4.371806270309683273e-03,1.268510987820975228e-03
-2.171568777599680849e-03,-6.533834432694868299e-03,1.009330405509660800e-01,2.898047202930228994e-03,-4.414283140313169686e-03,1.271921796783566285e-03
-2.264778505580003921e-03,-6.760391063747046847e-03,1.021313116552925448e-01,3.006443372684688801e-03,-4.469751688729633327e-03,1.278584309039042547e-03
-2.341107445778754445e-03,-7.005091714540610456e-03,1.040551812236419904e-01,3.127473810035624920e-03,-4.511189036198175184e-03,1.276985685840265018e-03
-2.403294616145584470e-03,-7.115015925694478244e-03,1.039735930104580541e-01,3.182252259724018765e-03,-4.541708810761344549e-03,1.286024023725045994e-03
-2.443468587406258039e-03,-7.207529564208094153e-03,1.004009137580520461e-01,3.225612005242198699e-03,-4.561753315978596575e-03,1.292631189911261011e-03
-2.462104183384355993e-03,-7.192593808486118928e-03,9.676684333700202867e-02,3.219351779572096183e-03,-4.562591342252970278e-03,1.287023301961060092e-03
-2.551998865998228623e-03,-7.393836001945125469e-03,9.625535849607969041e-02,3.313955105715758569e-03,-4.610822876785505842e-03,1.278431683786981259e-03
-2.621117438971647291e-03,-7.656457712461138890e-03,9.619991290427309938e-02,3.439668164150757115e-03,-4.659775679385956895e-03,1.276344902379671206e-03
-2.720460993617474822e-03,-7.722667393941347325e-03,9.432053260878869860e-02,3.478128391704017348e-03,-4.712561822616050458e-03,1.264138955760875762e-03
-2.782842344179232204e-03,-7.812953966994919119e-03,9.253281617093722655e-02,3.525224398749414977e-03,-4.748783638267035055e-03,1.263026659468679744e-03
-2.889336436527755510e-03,-8.128769001464548200e-03,9.225340647177393549e-02,3.680771072268511270e-03,-4.807387198916884472e-03,1.259135370324219625e-03
-2.895178682015787583e-03,-8.223540474128132258e-03,9.216761501144410396e-02,3.731504927453905846e-03,-4.814528450239447498e-03,1.248350817392887167e-03
-2.915331695656924599e-03,-8.357475342200021418e-03,9.156993186711492871e-02,3.800398816535882282e-03,-4.824909105043052003e-03,1.237389925238516859e-03
-3.077304607692989569e-03,-8.543640338506037352e-03,9.128309409981183453e-02,3.893813858494727439e-03,-4.905594969561019245e-03,1.224459342080196859e-03
-3.179339305507890030e-03,-8.636033142424951597e-03,9.172256188739646987e-02,3.941116160739075412e-03,-4.955261295237784608e-03,1.213233654273642402e-03
