x_error,y_error,z_error,rx_error,ry_error,rz_error
-3.890365030459316288e-03,4.982920758871137862e-03,-1.316636925883117870e-01,-1.683929859181450550e-01,4.828905667247387207e-02,-9.192117064323792469e-03
-3.890365030459316722e-03,4.982920758871127453e-03,-1.339376336283510938e-01,-1.683929859181454436e-01,4.828905667247382349e-02,-9.192117064323905226e-03
-3.890365030459317589e-03,4.982920758871127453e-03,-1.340646630472964729e-01,-1.683929859181451938e-01,4.828905667247377492e-02,-9.192117064323849715e-03
-3.890365030459318890e-03,4.982920758871123984e-03,-1.320146447367497311e-01,-1.683929859181450828e-01,4.828905667247349737e-02,-9.192117064324906162e-03
-3.890365030459319324e-03,4.982920758871123984e-03,-1.279636651224919097e-01,-1.683929859181453048e-01,4.828905667247354594e-02,-9.192117064324961673e-03
-3.890365030459321059e-03,4.982920758871123984e-03,-1.210976678080387670e-01,-1.683929859181454436e-01,4.828905667247349043e-02,-9.192117064324739628e-03
-2.798930850339885132e-03,4.409639518483266657e-03,-1.086650966433265753e-01,-1.782197328082401888e-01,6.486909756802511362e-02,-1.653216214306997903e-02
-2.798930850339887734e-03,4.409639518483249310e-03,-9.892815816676381324e-02,-1.782197328082397447e-01,6.486909756802544669e-02,-1.653216214306959045e-02
-2.798930850339885999e-03,4.409639518483242371e-03,-8.614915120875588084e-02,-1.782197328082397725e-01,6.486909756802540505e-02,-1.653216214306931636e-02
-2.798930850339887734e-03,4.409639518483238901e-03,-7.337311971461513149e-02,-1.782197328082398835e-01,6.486909756802590465e-02,-1.653216214306853921e-02
-2.798930850339887734e-03,4.409639518483238901e-03,-5.948212850367762261e-02,-1.782197328082402166e-01,6.486909756802607119e-02,-1.653216214306792511e-02
-2.798930850339887734e-03,4.409639518483238901e-03,-4.280213582789638149e-02,-1.782197328082401055e-01,6.486909756802579363e-02,-1.653216214306870574e-02
1.261602960620568023e-03,1.459562407347739926e-03,-1.638985236881806973e-02,-6.695019965048995547e-02,5.933250209762627736e-02,-1.049049015947198932e-02
1.261602960620569975e-03,1.459562407347753804e-03,-5.308588385445345281e-04,-6.695019965048962240e-02,5.933250209762615940e-02,-1.049049015947159900e-02
1.261602960620569107e-03,1.459562407347757274e-03,1.742415825129928209e-02,-6.695019965048908117e-02,5.933250209762584021e-02,-1.049049015947221310e-02
1.261602960620571709e-03,1.459562407347753804e-03,3.319816032649458570e-02,-6.695019965048919219e-02,5.933250209762584715e-02,-1.049049015947199105e-02
1.261602960620575396e-03,1.459562407347753804e-03,4.852813163997116153e-02,-6.695019965048905342e-02,5.933250209762555571e-02,-1.049049015947271096e-02
1.261602960620579732e-03,1.459562407347753804e-03,6.493316093684609047e-02,-6.695019965048892852e-02,5.933250209762509775e-02,-1.049049015947315332e-02
3.214773115695709720e-03,-1.637334041104970828e-03,3.832787939384862952e-02,-1.791350356168145905e-02,4.409395047362928838e-02,-1.997777713480045764e-02
3.214773115695710587e-03,-1.637334041104977767e-03,5.071587988213011045e-02,-1.791350356168145558e-02,4.409395047362900388e-02,-1.997777713480100928e-02
3.214773115695710587e-03,-1.637334041104977767e-03,6.298688360527471275e-02,-1.791350356168212171e-02,4.409395047362900388e-02,-1.997777713480078723e-02
3.214773115695703648e-03,-1.637334041104981236e-03,7.221787878349739120e-02,-1.791350356168223273e-02,4.409395047362894837e-02,-1.997777713480084275e-02
3.214773115695697143e-03,-1.637334041104981236e-03,7.971387335136859154e-02,-1.791350356168234376e-02,4.409395047362905939e-02,-1.997777713480045417e-02
