x,y,z,qw,qx,qy,qz
-1.363823785137162434e-03,1.610723753877586414e-02,8.031838822191321725e-01,2.142162738372479780e-01,2.137640136978298244e-01,6.746498934175597650e-01,-6.732487324776441628e-01
-1.542301854583875281e-03,1.577411820566008288e-02,8.196373067017734826e-01,2.142283197357693070e-01,2.138151159123879985e-01,6.746954429429108391e-01,-6.731830230350661637e-01
-1.561470372582273326e-03,1.566046315834502406e-02,8.319133857883196370e-01,2.142252379121489247e-01,2.138270488938074365e-01,6.747128314223919121e-01,-6.731627854515036535e-01
-1.676818452451768384e-03,1.545183501170567519e-02,8.441192666538973599e-01,2.142320838789640580e-01,2.138611005214642313e-01,6.747408571836717162e-01,-6.731216974423487320e-01
-1.798057524885865498e-03,1.522947647779177363e-02,8.561465626451144617e-01,2.142385120458274450e-01,2.138992690019559939e-01,6.747694955397501859e-01,-6.730788145275778955e-01
-1.910715331386162764e-03,1.512418635486418445e-02,8.646592450028528498e-01,2.142510285067975584e-01,2.139267197185574787e-01,6.747795092864298239e-01,-6.730560669226617332e-01
-2.024538734543611905e-03,1.501998691192466505e-02,8.723871007263217514e-01,2.142653293057758812e-01,2.139515473563383674e-01,6.747907114167694953e-01,-6.730323913653528667e-01
-2.036090945448290352e-03,1.496654328382019186e-02,8.741465073840676281e-01,2.142651984300844581e-01,2.139579160967596261e-01,6.747980611453939792e-01,-6.730230393943917866e-01
-2.161194383959595851e-03,1.493036295446575207e-02,8.703740611120612813e-01,2.142844363884346126e-01,2.139810548528839895e-01,6.747966761987750361e-01,-6.730109466248106465e-01
-2.168798950293749066e-03,1.488838415955816459e-02,8.659096176918552601e-01,2.142831443308600425e-01,2.139856240453462677e-01,6.748036934590571079e-01,-6.730028692744322028e-01
-2.132140749006888013e-03,1.481405839988062662e-02,8.591049907659696894e-01,2.142725638492470608e-01,2.139839303340090870e-01,6.748179260350062325e-01,-6.729925056359045143e-01
-2.122777251109474531e-03,1.476499545966051229e-02,8.521525775234124467e-01,2.142690864314946986e-01,2.139824839398362100e-01,6.748271140048990313e-01,-6.729848596889601575e-01
-2.132429886615039554e-03,1.463085356714210160e-02,8.439724941232668032e-01,2.142648361985184380e-01,2.139880033817703753e-01,6.748478348169605345e-01,-6.729636797185756247e-01
-1.974746476986349170e-03,1.462160127069951979e-02,8.350912720438923298e-01,2.142409581448706246e-01,2.139582752274917787e-01,6.748581763525800525e-01,-6.729703634818653413e-01
-1.957863785797347555e-03,1.459982403490859941e-02,8.237465028301516057e-01,2.142347290693235318e-01,2.139594400437320187e-01,6.748617912666838858e-01,-6.729683510872475072e-01
-1.939387234195268962e-03,1.459888205056886212e-02,8.112876713602201750e-01,2.142299558700674900e-01,2.139562280480776790e-01,6.748628545792884070e-01,-6.729698254724667539e-01
-1.918660308768838389e-03,1.457726664409297879e-02,7.993889774211204724e-01,2.142199774921911271e-01,2.139537918047275111e-01,6.748674985895455336e-01,-6.729691193235501911e-01
-1.874561683984321721e-03,1.458120148368582600e-02,7.866703831340571274e-01,2.142089335688577012e-01,2.139442294170442738e-01,6.748689149670950016e-01,-6.729742544032245588e-01
-1.813196000743479705e-03,1.451098901372819237e-02,7.735347254358726499e-01,2.141948172741172662e-01,2.139324591545224141e-01,6.748838284523485109e-01,-6.729675335902226552e-01
-1.734273468715024627e-03,1.440325202977090630e-02,7.607283631726267092e-01,2.141775902007505838e-01,2.139175901856275042e-01,6.749046282470622105e-01,-6.729568836379251628e-01
-1.726956708369938205e-03,1.435060639437467887e-02,7.484396599247019610e-01,2.141727953406807605e-01,2.139124839455163185e-01,6.749128214847739393e-01,-6.729518157666860567e-01
-1.761900620044929734e-03,1.439258450905616694e-02,7.349606653113024413e-01,2.141811248145066571e-01,2.139071014442404106e-01,6.749050090239098187e-01,-6.729587108577703702e-01
-1.708177613079462157e-03,1.438295114466875413e-02,7.223680166165205030e-01,2.141745665199410731e-01,2.138873038133338733e-01,6.749092184943406014e-01,-6.729628690461428864e-01
-1.705128319930737267e-03,1.442137860216164379e-02,7.108525867154319444e-01,2.141771059844166658e-01,2.138742649355388492e-01,6.749037900522253386e-01,-6.729716489151418291e-01
-1.700266009845658550e-03,1.439050824449313905e-02,7.003137560912815474e-01,2.141736171376962539e-01,2.138660753686616456e-01,6.749093145795572735e-01,-6.729698214796210332e-01
-1.747870746188224600e-03,1.445512576380293332e-02,6.899596339303649684e-01,2.141826799026692041e-01,2.138639726411213360e-01,6.748978953105045919e-01,-6.729790574314480356e-01
-1.718832073982733350e-03,1.445869925347578050e-02,6.814238858730272685e-01,2.141745957696558067e-01,2.138552683146479616e-01,6.748982916993375714e-01,-6.729839987713605032e-01
-1.758165049511499402e-03,1.443493682226473611e-02,6.736439013365275175e-01,2.141788173092779857e-01,2.138565049767680026e-01,6.748971802062244674e-01,-6.729833769453797965e-01
-1.719616157209359012e-03,1.433598334670907123e-02,6.677196624081280785e-01,2.141721742888954283e-01,2.138470873891916701e-01,6.749110602032614148e-01,-6.729745639998853113e-01
