x,y,z,qw,qx,qy,qz
6.267778950318256921e-04,1.930821965455728484e-02,7.780041904924404061e-01,1.965897530056606446e-01,1.752489488791328931e-01,6.349218605281329308e-01,-7.263019385582186738e-01
-3.956873015946508511e-03,2.486801218752093812e-02,7.076252957174087310e-01,2.103045866749509996e-01,1.807571759633531394e-01,6.192578568277089524e-01,-7.345873201453889667e-01
-4.071498659486381087e-03,2.483452086939548498e-02,7.038528884770687277e-01,2.103223235633751298e-01,1.807821976372004924e-01,6.192571055773765654e-01,-7.345767178588616941e-01
-4.078280344857449988e-03,2.479635111627412347e-02,6.993886621667818604e-01,2.103212317292750821e-01,1.807868310156508507e-01,6.192648600044958762e-01,-7.345693530081494060e-01
-4.044642640824738962e-03,2.472818039785202107e-02,6.925844361005268901e-01,2.103117267883752306e-01,1.807844636307052166e-01,6.192802174368647883e-01,-7.345597100143729241e-01
-4.036540046314920568e-03,2.468303119599799672e-02,6.856322703514989847e-01,2.103089811504582629e-01,1.807828701215222766e-01,6.192900416631567095e-01,-7.345526057505527007e-01
-4.045927426575809775e-03,2.455898119949516054e-02,6.774527849814161451e-01,2.103058326931964428e-01,1.807884598320642633e-01,6.193125543007793610e-01,-7.345331507918585467e-01
-2.800355653681654844e-03,2.435466490645891990e-02,6.996144744778127755e-01,2.031419238629356139e-01,1.764468667811520397e-01,6.164742739621041911e-01,-7.399725207838979690e-01
-2.784419308815455196e-03,2.433434976896045945e-02,6.882698160727727110e-01,2.031358632515593288e-01,1.764474994714847478e-01,6.164783486637890331e-01,-7.399706390256792776e-01
-2.767526391300263646e-03,2.433342421293952645e-02,6.758109954451745338e-01,2.031313621444089945e-01,1.764438236758477663e-01,6.164793923019765698e-01,-7.399718816732085980e-01
-2.749220501337986018e-03,2.431322829090934445e-02,6.639124183009800229e-01,2.031218544716676955e-01,1.764404827548525789e-01,6.164844307004382351e-01,-7.399710906415073453e-01
-2.709230295449055817e-03,2.431657055658452068e-02,6.511938066161635508e-01,2.031115018169230291e-01,1.764298165921074357e-01,6.164855967458028330e-01,-7.399755040891018432e-01
-2.653127968813435641e-03,2.425043645349875959e-02,6.380584744175332723e-01,2.030992780679598264e-01,1.764167718288622844e-01,6.165011915837476097e-01,-7.399689768102282184e-01
1.289314617734440595e-03,2.142640178685478389e-02,7.044733363436586071e-01,1.959521227190050008e-01,1.887977610287516761e-01,6.563363977338578792e-01,-7.036907730261848792e-01
1.295762262834815109e-03,2.137477216531984830e-02,6.921847132267238134e-01,1.959477808940923160e-01,1.887923242953113423e-01,6.563446528254555101e-01,-7.036857410501418109e-01
1.260980066449963457e-03,2.141534184504268606e-02,6.787055514411680646e-01,1.959559340522480375e-01,1.887873565359474703e-01,6.563363326415170285e-01,-7.036925638207101041e-01
1.312378775121130371e-03,2.140544637217698873e-02,6.661127451287038870e-01,1.959499432978532296e-01,1.887671759302543828e-01,6.563398745785717914e-01,-7.036963422180546601e-01
1.314448300374061306e-03,2.144246592332808149e-02,6.545970868675096144e-01,1.959525322497180644e-01,1.887542721003762081e-01,6.563337199307567316e-01,-7.037048230264130178e-01
